Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
2010,23046,1625100 Ont Ltd Authentic Windows And Doors,Wood Window & Door Mfg.,24,Particulate Matter 2.5 (PM2.5),,,174,,174,,,,
2010,23046,1625100 Ont Ltd Authentic Windows And Doors,Wood Window & Door Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,306,306,,,,
2010,486,4 Solutions Display Corp,All Other Plastic Product Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,8,,,,,
2010,405,A1 Label Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,2776,,6910,5456,,,,
2010,222,ABC Climate Control Systems Inc,All Other Plastic Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,381,,381,,,,
2010,222,ABC Climate Control Systems Inc,All Other Plastic Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,180,,180,,,,
2010,185,ABC INOAC Exterior Systems,Motor Vehicle Plastic Parts Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,2757,,2757,,,,
2010,185,ABC INOAC Exterior Systems,Motor Vehicle Plastic Parts Mfg.,24,Particulate Matter 2.5 (PM2.5),,,87,,87,,,,
2010,185,ABC INOAC Exterior Systems,Motor Vehicle Plastic Parts Mfg.,25,Volatile Organic Compounds (VOCs) Total,,237928,168,,92554,,,,
2010,163,AEP Canada Inc,Plastic Film and Sheet Manufacturing,23,Nitrogen Oxides (NOx),11104-93-1,,735,,735,,,,
2010,163,AEP Canada Inc,Plastic Film and Sheet Manufacturing,24,Particulate Matter 2.5 (PM2.5),,,843,,843,,,,
2010,163,AEP Canada Inc,Plastic Film and Sheet Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,,115,,115,,,,
2010,24279,Abacus Furniture,Other Wood Household Furniture Mfg.,24,Particulate Matter 2.5 (PM2.5),,0,64,0,64,0,0,,
2010,24279,Abacus Furniture,Other Wood Household Furniture Mfg.,25,Volatile Organic Compounds (VOCs) Total,,0,1871,0,224,0,0,,
2010,589,Ace Bakery Limited North York,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,0,314,0,314,0,0,0,0
2010,581,Agropur Cooperative,Fluid Milk Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,4957,,4957,,,,
2010,581,Agropur Cooperative,Fluid Milk Mfg.,24,Particulate Matter 2.5 (PM2.5),,66,170,,236,,,,
2010,581,Agropur Cooperative,Fluid Milk Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,273,,273,,,,
2010,593,Alfred Georgi,Plastics Bag Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,6854,,,6854,,,,
2010,603,Allied Halo Industries Inc,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,352,,352,,,,
2010,603,Allied Halo Industries Inc,Other Printing,24,Particulate Matter 2.5 (PM2.5),,,27,,27,,,,
2010,603,Allied Halo Industries Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,247311,19,,231057,,,,
2010,21950,Amvic Inc,Resin & Synthetic Rubber Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1088,,1088,,,,
2010,21950,Amvic Inc,Resin & Synthetic Rubber Mfg.,25,Volatile Organic Compounds (VOCs) Total,,51124,60,,51184,,,,
2010,22194,Andre Laboratory Inc,Toilet Preparation Mfg.,20,Trichloroethylene,079-01-6,,,500,,,,,
2010,22194,Andre Laboratory Inc,Toilet Preparation Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,500,,,,,
2010,332,Apotex 20 Kenhar,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,592,,592,,,,
2010,332,Apotex 20 Kenhar,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,2380,2380,,,,
2010,420,Apotex 3701 Weston,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,367,,367,,,,
2010,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,169,,,,,
2010,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,962,,962,,,,
2010,23302,Apotex 400 Ormont,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,5589,1005,,,,
2010,419,Apotex 4100 Weston,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,462,,462,,,,
2010,419,Apotex 4100 Weston,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,200,200,,,,
2010,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,7,Chloroform (Trichloromethane),67-66-3,,,191,,,,,
2010,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,9062,,9062,,,,
2010,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,24,Particulate Matter 2.5 (PM2.5),,,200,,200,,,,
2010,315,Apotex Etobicoke,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,19976,14484,,,,
2010,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,7,Chloroform (Trichloromethane),67-66-3,,,239,,,,,
2010,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,447,,,,,
2010,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,6599,,6599,,,,
2010,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,24,Particulate Matter 2.5 (PM2.5),,,214,,214,,,,
2010,303,Apotex Inc 150 Signet Manufacturing Site,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,50156,39787,,,,
2010,321,Apotex Special Products Facility,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,103,103,,,,
2010,321,Apotex Special Products Facility,Pharmaceutical & Medicine Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1479,,1479,,,,
2010,321,Apotex Special Products Facility,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,756,680,,,,
2010,329,Aqua Bond Inc,All Other Misc. Chemical Product Mfg.,8,"Chromium, Hexavalent and its compounds",,,,598,,,,,
2010,356,Art Printing Company,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,465,,1956,2421,,,,
2010,22868,Ashley Wood Turning Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,85,,85,,,,
2010,22868,Ashley Wood Turning Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,262,,,262,,,,
2010,412,Astley Gilbert Limited,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,3350,1560,,,,
2010,253,Atlantic Packaging 120 Tiffield Road,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,503,,503,,,,
2010,254,Atlantic Packaging 255 Brimley Road,Plastic Film and Sheet Manufacturing,23,Nitrogen Oxides (NOx),11104-93-1,,728,,728,,,,
2010,254,Atlantic Packaging 255 Brimley Road,Plastic Film and Sheet Manufacturing,24,Particulate Matter 2.5 (PM2.5),,,83,,83,,,,
2010,254,Atlantic Packaging 255 Brimley Road,Plastic Film and Sheet Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,148690,41,,148731,,,,
2010,255,Atlantic Packaging 80 Progress Avenue,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,631,,631,,,,
2010,255,Atlantic Packaging 80 Progress Avenue,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,9874,35,,9909,,,,
2010,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,496,,496,,,,
2010,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,91,,91,,,,
2010,534,Atlas Roofing Corporation,Urethane & Miscellaneous Foam Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,1903673,27,,41449,,,,
2010,235,BASF Canada,Resin & Synthetic Rubber Mfg.,15,Lead and its compounds,,17,,0,0,0,0,,
2010,235,BASF Canada,Resin & Synthetic Rubber Mfg.,25,Volatile Organic Compounds (VOCs) Total,,48280,50,0,3127,0,0,,
2010,22914,BAX Canada Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,24,Particulate Matter 2.5 (PM2.5),,,167,,167,,,,
2010,22914,BAX Canada Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,234,,,234,,,,
2010,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,422,,422,,,,
2010,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,24,Particulate Matter 2.5 (PM2.5),,,32,,32,,,,
2010,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,25,Volatile Organic Compounds (VOCs) Total,,302,,23,325,,,,
2010,23296,Bellwyck Packaging,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,8988,4893,,,,
2010,23562,Berry Plastics,Plastic Film and Sheet Manufacturing,23,Nitrogen Oxides (NOx),11104-93-1,,363,,363,,,,
2010,23562,Berry Plastics,Plastic Film and Sheet Manufacturing,24,Particulate Matter 2.5 (PM2.5),,2541,7,5,2553,,,,
2010,23562,Berry Plastics,Plastic Film and Sheet Manufacturing,25,Volatile Organic Compounds (VOCs) Total,,153,39,0,183,,,,
2010,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,9,"Chromium, Non-Hexavalent and its compounds",,8762,,,,,,,
2010,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,344,,344,,,,
2010,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,24,Particulate Matter 2.5 (PM2.5),,,53,,53,,,,
2010,192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,551074,,16532,,,,
2010,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,306,,306,,,,
2010,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,24,Particulate Matter 2.5 (PM2.5),,,86,,86,,,,
2010,574,Brazilian Canadian Coffee Co Ltd,Coffee & Tea Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,61746,,61746,,,,
2010,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,8277,0,0,20,0,0,,
2010,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,14,Formaldehyde,50-00-0,110000,0,0,2,0,0,,
2010,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,19,Tetrachloroethylene (Perchloroethylene),127-18-4,7860,0,0,20,0,0,,
2010,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,20,Trichloroethylene,079-01-6,189,0,0,0,0,0,,
2010,274,Brenntag Canada Inc OS52 Titan,All Other Misc. Chemical Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,12637176,0,0,1757,0,0,,
2010,22858,Bridge Ramdewar,Wood Kitchen Cabinet & Counter Top Mfg.,24,Particulate Matter 2.5 (PM2.5),,,360,,360,,,,
2010,22858,Bridge Ramdewar,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,1597,0,0,1597,,,,
2010,496,Britannia Printers Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,565,,,,,
2010,197,Brunswick Mfg Co Ltd,Wood Office Furniture Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,2887,120,,,,
2010,463,CCL Label,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,0,0,13526,9480,0,0,0,0
2010,279,CJ Graphics Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,10520,,,4860,,,,
2010,22902,CKF Inc,Polystyrene Foam Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,355000,0,0,81650,,,,
2010,214,Cameron Advertising Displays Limited,Commercial Screen Printing,13,Dichloromethane (Methylene chloride),75-09-2,,,125,125,,,,
2010,242,Cameron Advertising Displays Limited,Digital Printing,25,Volatile Organic Compounds (VOCs) Total,,,,502,502,,,,
2010,214,Cameron Advertising Displays Limited,Commercial Screen Printing,25,Volatile Organic Compounds (VOCs) Total,,,,458,458,,,,
2010,217,Campbell Company Of Canada,"Fruit & Vegetable Canning, Pickling & Drying",23,Nitrogen Oxides (NOx),11104-93-1,,21424,,21424,,,,
2010,217,Campbell Company Of Canada,"Fruit & Vegetable Canning, Pickling & Drying",24,Particulate Matter 2.5 (PM2.5),,,406,,406,,,,
2010,217,Campbell Company Of Canada,"Fruit & Vegetable Canning, Pickling & Drying",25,Volatile Organic Compounds (VOCs) Total,,929,1182,272,2383,,,,
2010,210,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1686,,1686,,,,
2010,324,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1998,,1998,,,,
2010,210,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,130,,130,,,,
2010,324,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,154,,154,,,,
2010,324,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,86941,411,87325,,,,
2010,210,Canada Bread Company Limited,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,41621,98,41719,,,,
2010,369,Canada Bread Company Ltd,Commercial Bakeries & Frozen Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1347,,1347,,,,
2010,369,Canada Bread Company Ltd,Commercial Bakeries & Frozen Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,102,,102,,,,
2010,369,Canada Bread Company Ltd,Commercial Bakeries & Frozen Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,34269,788,35057,,,,
2010,365,Canadian Custom Packaging,Pharmaceutical & Medicine Mfg.,20,Trichloroethylene,079-01-6,324,,,0,,,,
2010,365,Canadian Custom Packaging,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,284611,,,,,0,,
2010,24346,Canadian Printco Limited,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,1363,,245,1273,,,,
2010,472,Canroof Corporation Inc CRC Toronto,Asphalt Shingle & Coating Material Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,3857,,3857,,,,
2010,472,Canroof Corporation Inc CRC Toronto,Asphalt Shingle & Coating Material Mfg.,24,Particulate Matter 2.5 (PM2.5),,,8706,,8706,,,,
2010,472,Canroof Corporation Inc CRC Toronto,Asphalt Shingle & Coating Material Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,208,2327,2535,,,,
2010,25135,Cargill Kitchen Solutions,All Other Food Mfg.,24,Particulate Matter 2.5 (PM2.5),,,76,,76,,,,
2010,170,Cascades Containerboard Packaging  Lithotech,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,596,,596,,,,
2010,170,Cascades Containerboard Packaging  Lithotech,Other Printing,24,Particulate Matter 2.5 (PM2.5),,,45,,45,,,,
2010,170,Cascades Containerboard Packaging  Lithotech,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,7296,3508,,,,
2010,22542,Central Epicure Food Products Ltd,Seafood Product Preparation & Packaging,24,Particulate Matter 2.5 (PM2.5),,,145,,145,,,,
2010,22542,Central Epicure Food Products Ltd,Seafood Product Preparation & Packaging,25,Volatile Organic Compounds (VOCs) Total,,,132,,132,,,,
2010,282,Charles Sammut Limited,Wood Window & Door Mfg.,24,Particulate Matter 2.5 (PM2.5),,,60,,60,,,,
2010,404,Chemtura Canada CoCie,Petrochemical Mfg.,24,Particulate Matter 2.5 (PM2.5),,,60,,60,,,,
2010,404,Chemtura Canada CoCie,Petrochemical Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,4461489,,65000,,,,
2010,531,Churethane Inc,Urethane & Miscellaneous Foam Product Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,12960,3888,0,,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,5,Cadmium and its compounds,,140,,,,0,109,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,15,Lead and its compounds,,6810,,,,0,3540,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,17,Mercury and its compounds,,79,,,,0,27,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,23,Nitrogen Oxides (NOx),11104-93-1,,34000,,34000,,,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,24,Particulate Matter 2.5 (PM2.5),,,652,,652,,,,
2010,569,City Of Toronto Ashbridges Bay Wastewater Treatment Plant,Sewage Treatment Facilities,25,Volatile Organic Compounds (VOCs) Total,,,1890,,1890,,,,
2010,512,City Of Toronto City Clerk's Office,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,518,518,,,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,5,Cadmium and its compounds,,38,,,3,,30,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,15,Lead and its compounds,,1385,,,32,,1070,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,17,Mercury and its compounds,,17,,,9,,8,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,18,Nickel and its compounds,,775,,,,,775,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,23,Nitrogen Oxides (NOx),11104-93-1,,67900,,67900,,,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,24,Particulate Matter 2.5 (PM2.5),,,27400,,27400,,,,
2010,570,City Of Toronto Highland Creek Treatment Plant,Sewage Treatment Facilities,25,Volatile Organic Compounds (VOCs) Total,,,741,,741,,,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,5,Cadmium and its compounds,,76,,,,,66,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,15,Lead and its compounds,,2995,,,,,2120,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,17,Mercury and its compounds,,61,,,,,20,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,18,Nickel and its compounds,,1681,,,,,1681,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,23,Nitrogen Oxides (NOx),11104-93-1,,9210,,9210,,,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,24,Particulate Matter 2.5 (PM2.5),,,175,,175,,,,
2010,571,City Of Toronto Humber Wastewater Treatment Plant,Sewage Treatment Facilities,25,Volatile Organic Compounds (VOCs) Total,,,506,,506,,,,
2010,572,City Of Toronto North Toronto Treatment Plant,Sewage Treatment Facilities,5,Cadmium and its compounds,,7,,,,,7,,
2010,572,City Of Toronto North Toronto Treatment Plant,Sewage Treatment Facilities,15,Lead and its compounds,,318,,,,,249,,
2010,572,City Of Toronto North Toronto Treatment Plant,Sewage Treatment Facilities,23,Nitrogen Oxides (NOx),11104-93-1,,780,,780,,,,
2010,543,Clariant Plastics & Coatings Canada Inc.,All Other Plastic Product Mfg.,8,"Chromium, Hexavalent and its compounds",,104,,,,,,,
2010,543,Clariant Plastics & Coatings Canada Inc.,All Other Plastic Product Mfg.,9,"Chromium, Non-Hexavalent and its compounds",,37372,,,,,,,
2010,543,Clariant Plastics & Coatings Canada Inc.,All Other Plastic Product Mfg.,15,Lead and its compounds,,16374,,,,,,,
2010,543,Clariant Plastics & Coatings Canada Inc.,All Other Plastic Product Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,216,,216,,,,
2010,543,Clariant Plastics & Coatings Canada Inc.,All Other Plastic Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,6052,,6052,,,,
2010,216,Club Coffee LP,Coffee & Tea Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1950,,1950,,,,
2010,216,Club Coffee LP,Coffee & Tea Mfg.,24,Particulate Matter 2.5 (PM2.5),,,1223,,1223,,,,
2010,216,Club Coffee LP,Coffee & Tea Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,506,,506,,,,
2010,371,Coca-Cola Canada Bottling Limited,Soft Drink & Ice Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,6125,,6125,,,,
2010,371,Coca-Cola Canada Bottling Limited,Soft Drink & Ice Mfg.,24,Particulate Matter 2.5 (PM2.5),,,116,,116,,,,
2010,371,Coca-Cola Canada Bottling Limited,Soft Drink & Ice Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,367,,367,,,,
2010,497,Coco Paving Inc Leaside HMA Plant,Asphalt Paving Mixture & Block Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,623,,623,,,,
2010,497,Coco Paving Inc Leaside HMA Plant,Asphalt Paving Mixture & Block Mfg.,24,Particulate Matter 2.5 (PM2.5),,,219,,219,,,,
2010,497,Coco Paving Inc Leaside HMA Plant,Asphalt Paving Mixture & Block Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,196,,196,,,,
2010,498,Coco Paving Inc Wilson HMA Plant,Asphalt Paving Mixture & Block Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,1317,,1317,,,,
2010,498,Coco Paving Inc Wilson HMA Plant,Asphalt Paving Mixture & Block Mfg.,24,Particulate Matter 2.5 (PM2.5),,,437,,437,,,,
2010,498,Coco Paving Inc Wilson HMA Plant,Asphalt Paving Mixture & Block Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,416,,416,,,,
2010,474,Colmar Corporation,Printing Ink Mfg.,16,Manganese and its compounds,,38,,,1,0,,,
2010,474,Colmar Corporation,Printing Ink Mfg.,25,Volatile Organic Compounds (VOCs) Total,,10182,,,243,,,,
2010,397,Color Box Design Printing,Digital Printing,25,Volatile Organic Compounds (VOCs) Total,,1,,,,,,,
2010,240,Colour Innovations Print Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,17190,4811,,,,
2010,226,Colwell Canada Corp,Other Printing,23,Nitrogen Oxides (NOx),11104-93-1,,864,,864,,,,
2010,226,Colwell Canada Corp,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,118843,,,96144,,,,
2010,24255,Commercial Bakeries Corp,Cookie & Cracker Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,0,1318,0,1318,,,,
2010,24255,Commercial Bakeries Corp,Cookie & Cracker Mfg.,24,Particulate Matter 2.5 (PM2.5),,0,69,0,69,,,,
2010,23212,Compagnie Parento Ltd,All Other Misc. Chemical Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,39500,4,,,,
2010,24326,Copacetic Woodwork  Design Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,183,,,183,,,,
2010,90,Cosmetica Laboratories Inc,Toilet Preparation Mfg.,25,Volatile Organic Compounds (VOCs) Total,,6000,10879,6213,5967,0,0,,
2010,23178,Coyle Corrugated Containers Inc,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,495,,64,559,,,,
2010,23733,Craftsman Custom Built Shutters Inc,Wood Window & Door Mfg.,25,Volatile Organic Compounds (VOCs) Total,,400,,,400,,,,
2010,22948,Creative Custom Furnishings Corporation,Upholstered Household Furniture Mfg.,24,Particulate Matter 2.5 (PM2.5),,,86,,86,,,,
2010,447,D Crupi And Sons Limited Bethridge Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,14,Formaldehyde,50-00-0,,380,,380,,,,
2010,447,D Crupi And Sons Limited Bethridge Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,8876,,8876,,,,
2010,447,D Crupi And Sons Limited Bethridge Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,24,Particulate Matter 2.5 (PM2.5),,,736,1,737,,,,
2010,447,D Crupi And Sons Limited Bethridge Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,5871,,5871,,,,
2010,448,D Crupi And Sons Limited Brimley Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,2751,,2751,,,,
2010,448,D Crupi And Sons Limited Brimley Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,24,Particulate Matter 2.5 (PM2.5),,,624,1,625,,,,
2010,448,D Crupi And Sons Limited Brimley Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,585,,585,,,,
2010,446,D Crupi And Sons Limited Passmore Ave Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,14,Formaldehyde,50-00-0,,384,,384,,,,
2010,446,D Crupi And Sons Limited Passmore Ave Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,6913,,6913,,,,
2010,446,D Crupi And Sons Limited Passmore Ave Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,24,Particulate Matter 2.5 (PM2.5),,,551,1,551,,,,
2010,446,D Crupi And Sons Limited Passmore Ave Asphalt Plant,Asphalt Paving Mixture & Block Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,5172,,5172,,,,
2010,418,DART Canada Inc,Polystyrene Foam Product Mfg.,24,Particulate Matter 2.5 (PM2.5),,,147,,147,,,,
2010,418,DART Canada Inc,Polystyrene Foam Product Mfg.,25,Volatile Organic Compounds (VOCs) Total,,18809,2,,18811,,,,
2010,477,DJ Manufacturing Co Ltd,Other Millwork,24,Particulate Matter 2.5 (PM2.5),,,893,,893,,,,
2010,477,DJ Manufacturing Co Ltd,Other Millwork,25,Volatile Organic Compounds (VOCs) Total,,2676,,,2577,,,,
2010,22046,Dalton Pharma Services,Pharmaceutical & Medicine Mfg.,7,Chloroform (Trichloromethane),67-66-3,,,284,0,,,,
2010,22046,Dalton Pharma Services,Pharmaceutical & Medicine Mfg.,13,Dichloromethane (Methylene chloride),75-09-2,,,3882,0,,,,
2010,22046,Dalton Pharma Services,Pharmaceutical & Medicine Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,,16803,0,,,,
2010,338,Dare Foods Limited,Non-Chocolate Confectionery Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,0,1100,0,1100,0,0,,
2010,338,Dare Foods Limited,Non-Chocolate Confectionery Mfg.,24,Particulate Matter 2.5 (PM2.5),,0,7,0,7,0,0,,
2010,338,Dare Foods Limited,Non-Chocolate Confectionery Mfg.,25,Volatile Organic Compounds (VOCs) Total,,0,59,0,59,0,0,,
